title,location,url,pre_comp_chars,flag_count,flags
Autonomy Engineer - Deep Learning Model Acceleration,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/cd6d8410-419b-4713-8d4d-7eb72b134d5a/?gh_jid=cd6d8410-419b-4713-8d4d-7eb72b134d5a,3219,3,BR-paragraphs(1); glued-heading-and-body; mixed-bold-styles(whole+prefix)
Deployment Engineer - Southeast,US Remote - Full-time,https://www.skydio.com/jobs/6138ba1c-c048-407d-9ea2-7b51a3d38756/?gh_jid=6138ba1c-c048-407d-9ea2-7b51a3d38756,4161,3,empty-p(5); glued-heading-and-body; mixed-bold-styles(whole+prefix)
"Director, Growth Marketing - Commercial","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/00d0bdc5-89ad-4182-8512-ab0a028953f6/?gh_jid=00d0bdc5-89ad-4182-8512-ab0a028953f6,4499,3,empty-p(2); mixed-casing(Title+Sentence); mixed-trailing-punct((none)/:)
Field Marketing Event Manager,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/6451be14-d388-4ad1-a4ce-97c36d130c71/?gh_jid=6451be14-d388-4ad1-a4ce-97c36d130c71,3912,3,uses-heading-tag(h3); mixed-casing(Title+Sentence); mixed-trailing-punct((none)/:)
"Field Support Representative (Southwest, Remote)",US Remote - Full-time,https://www.skydio.com/jobs/9b93e7c2-e5d5-48b2-a2d2-8df71e0d8357/?gh_jid=9b93e7c2-e5d5-48b2-a2d2-8df71e0d8357,5065,3,empty-p(2); glued-heading-and-body; mixed-bold-styles(whole+prefix)
Hardware Operations Program Manager,"Hayward, California, United States - Full-time",https://www.skydio.com/jobs/55b393cf-124c-46f8-bd83-8c62e3ce628b/?gh_jid=55b393cf-124c-46f8-bd83-8c62e3ce628b,2911,3,empty-p(3); glued-heading-and-body; mixed-bold-styles(whole+prefix)
Hardware Technician,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/6d5e666b-a0b7-45d4-a4de-45aef141ce10/?gh_jid=6d5e666b-a0b7-45d4-a4de-45aef141ce10,2640,3,empty-p(3); glued-heading-and-body; mixed-bold-styles(whole+prefix)
PhD Autonomy Engineer Intern - Planning & Controls (Reinforcement Learning),"Zurich, Switzerland - Intern",https://www.skydio.com/jobs/f8225008-00b5-415e-9a48-c9b6eba9363c/?gh_jid=f8225008-00b5-415e-9a48-c9b6eba9363c,3287,3,uses-heading-tag(h3); glued-heading-and-body; mixed-bold-styles(whole+prefix)
Product Design Engineer (All Levels),"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/3f02ead1-8efe-4e3f-9c75-625e74ab57d1/?gh_jid=3f02ead1-8efe-4e3f-9c75-625e74ab57d1,3117,3,glued-heading-and-body; mixed-bold-styles(whole+prefix); mixed-apostrophe(curly+straight)
Senior Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/a6973c57-132a-4a0d-b130-02d2bdaecd2a/?gh_jid=a6973c57-132a-4a0d-b130-02d2bdaecd2a,2183,3,BR-paragraphs(1); glued-heading-and-body; mixed-bold-styles(whole+prefix)
Senior Customer Support Representative - India,"Bangalore, India - Full-time",https://www.skydio.com/jobs/bb7a9c5c-8dbb-4a2f-9d7d-db9ab1f707b0/?gh_jid=bb7a9c5c-8dbb-4a2f-9d7d-db9ab1f707b0,4419,3,empty-p(1); glued-heading-and-body; mixed-bold-styles(whole+prefix)
Senior Revenue Operations Manager,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/05e9f029-3a9d-4956-a4c8-e0bc786dd86a/?gh_jid=05e9f029-3a9d-4956-a4c8-e0bc786dd86a,3336,3,empty-p(2); mixed-casing(Title+Sentence); mixed-bold-styles(whole+prefix)
"Senior Software Engineer,  Data Platform","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/aeaa130d-3e8b-42c5-a805-46f056e62fda/?gh_jid=aeaa130d-3e8b-42c5-a805-46f056e62fda,5099,3,mixed-casing(Title+Sentence); mixed-trailing-punct((none)/:); double-space-in-title
Senior Technical Support Representative - Japan,"Tokyo, Japan - Full-time",https://www.skydio.com/jobs/f714e85f-31df-494e-bac4-1dd61d4d6066/?gh_jid=f714e85f-31df-494e-bac4-1dd61d4d6066,5149,3,BR-paragraphs(1); empty-p(1); uses-heading-tag(h1)
"Software Engineer - Autonomy Infrastructure, Systems and Tools","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/9e42a7af-6369-4036-ae6f-6626ee3a4fb3/?gh_jid=9e42a7af-6369-4036-ae6f-6626ee3a4fb3,3965,3,empty-p(1); uses-heading-tag(h2); mixed-casing(Title+Sentence)
"Software Engineer - Autonomy Infrastructure, Systems and Tools","Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/9fc135c5-7a87-410d-8323-e0f918585ebc/?gh_jid=9fc135c5-7a87-410d-8323-e0f918585ebc,3965,3,empty-p(1); uses-heading-tag(h2); mixed-casing(Title+Sentence)
Software Engineer - Cloud Simulation & Full-Stack,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/7d7dfadc-c6fd-4958-8d59-004a91bff55e/?gh_jid=7d7dfadc-c6fd-4958-8d59-004a91bff55e,4174,3,empty-p(2); uses-heading-tag(h2); mixed-casing(Title+Sentence)
Software Engineer - Cloud Simulation & Full-Stack,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/948bddb5-4679-4c7c-bf57-960a0fd1a7ed/?gh_jid=948bddb5-4679-4c7c-bf57-960a0fd1a7ed,4174,3,empty-p(2); uses-heading-tag(h2); mixed-casing(Title+Sentence)
Software Engineer - Infrastructure,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/cb958101-ede8-4f50-bf30-b3272d33f25f/?gh_jid=cb958101-ede8-4f50-bf30-b3272d33f25f,2669,3,glued-heading-and-body; mixed-bold-styles(whole+prefix); mixed-apostrophe(curly+straight)
