title,loc,header_style,header_count,has_h_tag,mixes_header_styles,br,nbsp,empty_p,li_bold_leadin,pre_chars,title_trailing_ws,has_comp_block,headers,uuid
Product Support Engineer,"San Mateo, California, United States - Full-time",NONE,0,False,False,2,0,1,0,4204,False,True,,a4f131a0-4dde-46ce-85a1-c83fc3e0f21e
Product Support Engineer Intern,"San Mateo, California, United States - Intern",NONE,0,False,False,2,0,2,0,3136,False,True,,8df0689e-a489-4c72-a1f7-09dfe59745b8
Senior Customer Support Representative - India,"Bangalore, India - Full-time",p_strong,3,False,False,0,0,0,0,4389,False,True,About the role: | How you’ll make an impact: | What would make you a good fit:,bb7a9c5c-8dbb-4a2f-9d7d-db9ab1f707b0
Senior Technical Support Representative - Japan,"Tokyo, Japan - Full-time",NONE,0,False,False,2,0,1,0,5117,False,False,,f714e85f-31df-494e-bac4-1dd61d4d6066
Technical Support Specialist - West Coast,US Remote - Full-time,p_strong,1,False,False,0,5,0,0,4157,False,True,About the team:,3ac81a34-b7fe-4142-9d29-12bcc1376182
IT Technician (Help Desk - Linux Focus),"Hayward, California, United States - Full-time",p_strong,5,False,False,8,0,2,0,3618,False,True,About the Role | Location | What You’ll Do | What Makes You a Good Fit | Nice to Have,28c865cf-6aa4-45d1-ae13-34bb8f6b776b
"Project Manager, Workplace","San Mateo, California, United States - Full-time",h3,8,True,True,0,0,0,10,3532,False,True,"About the Role | You will be part of: | Bring Skydio’s HQ and vision to life | Translate technical needs into physical environments | Program manage complex, multi-disciplinary build-outs | Create a customer-obsessed environment | Deliver with rigor and attention to detail | How You’ll Operate",ca17c12d-18df-48dc-83a3-e0d8e06aa451
Head of Warehouse & Logistics Operations,US CA Production - Full-time,p_strong,2,False,False,1,0,1,0,3208,False,True,About the role: | What makes you a good fit:,0c1e9360-09dc-4c73-85bc-51aa72afd3ad
Manufacturing Quality Supervisor,"Hayward, California, United States - Full-time",p_strong,3,False,False,0,0,0,0,2811,False,True,About the role: | How you’ll make an impact: | What makes you a good fit:,e0c94b6c-e08e-499b-aa62-b010993a9200
"Production Manager, PM Shift","Hayward, California, United States - Full-time",p_strong,3,False,False,0,0,2,0,2168,False,True,About the Role: | How You’ll Make an Impact: | What Makes You a Good Fit:,7836de07-b630-438b-8db5-37a9ee618009
Production Supervisor,"Hayward, California, United States - Full-time",p_strong,2,False,False,2,0,0,0,2011,False,True,About the role: | What makes you a good fit:,90771bb1-f860-4b49-90ef-3a15bcd1fada
Senior Buyer,"Hayward, California, United States - Full-time",h2,3,True,True,0,0,2,0,3441,False,True,About the role: | How you will make an impact: | What makes you a strong fit:,5d32766d-990a-4c4c-a8c6-5e934dd8bd38
Senior NPI Product Quality Engineer,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,0,0,0,2717,False,True,About the role: | How you'll make an impact: | What makes you a good fit:,178a7e84-562e-40db-9abd-94bbf29159ca
Communications Manager,US Remote - Full-time,h2,3,True,False,0,0,2,0,3085,False,True,About the role | How you'll make an impact | What makes you a good fit,50567d8d-2903-494f-8e08-7c8ca734dc3a
"Director, Growth Marketing - Commercial","San Mateo, California, United States - Full-time",p_strong,5,False,False,8,0,2,0,4403,False,True,About the role: | Key Responsibilities: | What Success Looks Like: | What Would Make You a Good Fit: | Additional Desired Experience and Skills,00d0bdc5-89ad-4182-8512-ab0a028953f6
Field Marketing Event Manager,"San Mateo, California, United States - Full-time",h3,10,True,True,0,0,0,0,3788,False,True,About the Role: | How You’ll Make an Impact: | Customer Summit Planning & Execution | Field Marketing & Trade Show Support | Relationship Building & Internal Collaboration | What Makes You a Good Fit: | Required Experience | Preferred Skills & Experience | Interpersonal & Professional Skills | Physical & Travel Requirements,6451be14-d388-4ad1-a4ce-97c36d130c71
"Program Leader, Law Enforcement & Public Safety Training","San Mateo, California, United States - Full-time",p_strong,3,False,False,0,0,0,0,3718,False,True,About the Role: | How You’ll Make an Impact: | What Makes You a Good Fit:,cedc0320-0238-4fc0-89b9-8d580ada556d
Senior Brand Designer (Contract),"San Mateo, California, United States - Full-time",p_strong,3,False,False,2,0,2,0,3580,False,True,About the Role: | What you'll do: | What makes you a good fit:,5ae7e25f-7da3-4523-a8be-8866aa89e8df
Senior People Analytics Analyst,"San Mateo, California, United States - Full-time",p_strong,4,False,False,0,0,0,6,3284,False,True,About The Role | How You’ll Make an Impact: | What Makes Your a Good Fit: | Preferred Qualifications,0703aaa0-9fcb-4b22-ad8c-b53e74151a72
Senior Technical Recruiter,"San Mateo, California, United States - Full-time",p_strong,2,False,False,1,1,0,0,2939,False,True,How you'll make an impact: | What makes you a good fit:,16b0647d-a470-4917-9bb9-a95967828edc
Senior Technical Recruiter - Hardware Operations,"San Mateo, California, United States - Full-time",p_strong,1,False,False,3,1,0,0,3015,False,True,What makes you a good fit:,737c02d2-f03f-4716-a0c8-e14a0307f8cb
Staff Technical Recruiter,"San Mateo, California, United States - Full-time",p_strong,3,False,False,0,1,0,0,2884,False,True,About the role: | How you’ll make an impact: | What makes you a good fit:,c3a4256a-4525-443c-81d0-6f69e7c24805
Workplace Experience Coordinator Part-Time,"Zurich, Switzerland - Part-time",p_strong,5,False,False,1,0,1,0,3547,False,False,How you’ll make an impact: | Workplace Experience & Office Operations | People Operations & HR Coordination | Qualifications | Work Environment,d023afe5-f19f-42f7-a1dd-aa94a361b86f
Aviation Compliance Lead,"San Mateo, California, United States - Full-time",h2,3,True,False,1,0,1,0,2958,False,True,About the Role | How You’ll Make an Impact | What Makes You a Good Fit,b9f9047b-1555-4978-9bff-70eae58a6b17
Aviation Regulatory Program Manager,US Remote - Full-time,h2,3,True,False,0,0,1,0,3496,False,True,About the Role | How You’ll Make an Impact | What Makes You a Good Fit,d73ae64d-5877-4ab6-ad42-0224702f3fba
"Customer Success Manager, DFR Majors - Northeast",US Remote - Full-time,p_strong,4,False,False,0,6,0,0,3309,False,True,About the Team: | About the role: | How you’ll make an impact: | What makes you a good fit:,23721f25-7d5f-45fa-a5fe-d58f9680e1ef
Deployment Coordinator,US Remote - Full-time,h2,4,True,False,0,0,3,0,2996,False,True,About the Role | How You’ll Make an Impact | What Makes You a Good Fit | Why This Role is Unique,3d4cd6a4-ce4c-4df6-9002-93019d93784e
Deployment Engineer - Southeast,US Remote - Full-time,p_strong,5,False,False,0,0,4,0,4127,False,True,About the Team: | About the role: | How you’ll make an impact: | What makes you a good fit: | Nice to have:,6138ba1c-c048-407d-9ea2-7b51a3d38756
