title,location,type,url,word_count,found_compensation_block,cut_signal,uses_real_headings,real_heading_tag_breakdown,uses_bold_pseudo_headings,bold_pseudo_heading_count,heading_colon_style,paragraph_count,ul_count,ol_count,li_total,br_count,italic_count,underline_count,link_count,uses_c_link_class,inline_style_count,emoji_in_body,section_labels
Senior Autonomy Engineer - Deep Learning,"Zurich, Switzerland",Full-time,https://www.skydio.com/jobs/4ded3e5e-cdfe-4dc5-bbaf-0d3023521246,317,False,li_slug,False,,True,2,all-colon,5,2,0,13,3,0,0,4,False,0,False,How you'll make an impact: | What makes you a good fit:
Senior Autonomy Engineer - Deep Learning,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/a6421d3e-fdd0-48d6-8d8f-3fd605cdf09f,314,True,compensation,False,,True,2,all-colon,6,2,0,13,2,0,0,0,False,0,False,How you'll make an impact: | What makes you a good fit:
Senior Business Operations Manager,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/17b9ecf9-7a47-4811-b035-e1b9a54966aa,506,True,compensation,True,h3=3,True,3,all-colon,7,4,0,26,0,0,0,4,False,0,False,About the Role: | How you'll make an impact: | What makes you a good fit: | text
Senior Buyer,"Hayward, California, United States",Full-time,https://www.skydio.com/jobs/5d32766d-990a-4c4c-a8c6-5e934dd8bd38,478,True,compensation,True,h2=2,True,1,all-colon,7,2,0,22,0,0,0,4,False,0,False,About the role: | text
Senior Customer Support Representative - India,"Bangalore, India",Full-time,https://www.skydio.com/jobs/bb7a9c5c-8dbb-4a2f-9d7d-db9ab1f707b0,614,True,compensation,False,,True,3,all-colon,7,3,0,22,0,0,0,4,False,0,False,About the role: | How you'll make an impact: | What would make you a good fit:
"Senior Director, Product Management, Drone as First Responder (DFR)","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/7ef6359b-6454-4f91-871f-b33961585086,602,True,compensation,False,,True,2,all-colon,5,3,0,20,2,0,0,4,False,0,False,Bonus points for: | What makes you a good fit:
"Senior Engineering Manager, Infrastructure","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/3e7fb209-7973-4b5e-bf3e-b9a8a1f390eb,493,True,compensation,False,,True,2,all-colon,7,3,0,18,0,0,0,4,False,0,False,How you'll make an impact: | What makes you a good fit:
Senior Hardware Test and Reliability Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/c0e49670-51ca-461c-b0e2-4a06df01f692,539,True,compensation,False,,True,3,all-colon,7,2,0,12,0,0,0,0,False,0,False,About the role: | How you will make an impact: | Useful skills and experience:
Senior NPI Product Quality Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/178a7e84-562e-40db-9abd-94bbf29159ca,391,True,compensation,False,,True,3,all-colon,6,2,0,19,0,1,1,0,False,0,False,About the role: | How you'll make an impact: | What makes you a good fit:
Senior People Analytics Analyst,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/0703aaa0-9fcb-4b22-ad8c-b53e74151a72,454,True,compensation,False,,True,4,mixed,6,3,0,16,0,0,0,4,False,0,False,About The Role | How You'll Make an Impact: | Preferred Qualifications | What Makes Your a Good Fit:
"Senior Product Manager, Platform & Infrastructure","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/8d67884d-58f4-41a7-8740-ab65d3c03fa8,767,True,compensation,False,,True,3,mixed,14,2,0,15,1,0,0,4,False,0,False,How you'll make an impact: | Location | What would make you a strong fit:
Senior Revenue Operations Manager,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/05e9f029-3a9d-4956-a4c8-e0bc786dd86a,441,True,compensation,False,,True,4,all-colon,10,3,0,18,0,0,0,0,False,0,False,About the Role: | How You'll Make an Impact: | Preferred Qualifications: | What Makes You a Good Fit:
Senior RF Design Engineer,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/7bd047de-b65b-42b2-a2bf-7d33ceabd083,595,True,compensation,False,,True,3,all-colon,9,3,0,25,0,0,0,4,False,0,False,About the Role: | How You'll Make an Impact: | What Makes You a Good Fit:
Senior Software Engineer - Embedded,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/67a7d89f-9c4e-4f60-bdf1-a60b8addd8ae,353,True,compensation,False,,True,4,all-colon,6,3,0,17,0,0,0,4,True,0,False,About the role: | About the team: | How you'll make an impact: | What makes you a good fit:
Senior Software Engineer - Mobile Platform,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/e8cb16b0-d2f0-4cb4-a1a1-0f43d195cc9a,530,True,compensation,False,,True,5,all-colon,11,3,0,18,0,0,0,4,False,0,False,About the Role: | About the Team: | How You'll Make an Impact: | Nice To Haves: | What Makes You a Good Fit:
Senior Software Engineer - Security,"San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/bcd3d614-178c-4349-afd4-76476211b7fe,418,True,compensation,False,,True,4,all-colon,6,3,0,17,0,0,0,4,False,0,False,About the Role: | How you'll make an impact: | Nice to have: | What makes you a good fit:
"Senior Software Engineer,  Data Platform","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/aeaa130d-3e8b-42c5-a805-46f056e62fda,731,True,compensation,False,,True,5,mixed,10,3,0,20,1,0,0,4,False,0,False,About the role: | Examples of what you'll help build: | How you'll make an impact: | What would make you a good fit: | Why Join Us?
"Senior Software Engineer,  Infrastructure","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/0f71bdbb-a645-49f6-8890-dd5c052772c3,400,True,compensation,False,,True,3,all-colon,6,3,0,13,0,0,0,4,False,0,False,Bonus points: | How you'll make an impact: | What makes you a good fit:
"Senior Software Engineer, Frontend","San Mateo, California, United States",Full-time,https://www.skydio.com/jobs/86cfc7bb-001c-4c1c-b680-160265535a96,350,True,compensation,False,,True,4,all-colon,8,3,0,15,0,0,0,0,False,0,False,About the Role: | Bonus Points: | How You'll Make an Impact: | What Makes You a Good Fit:
